strike,put_gex,put_dex,net_greek_delta,call_gex,call_dex,net_gex
6910.0,2202857.696786,-104460070.71228799,-0.1779732708089097,0.0,0.0,-2202857.696786
6915.0,995737.918729,-6329138.933219004,-0.025269505494505486,0.0,0.0,-995737.918729
6920.0,4073504.5807999996,78292482.80618,0.07814697802197802,0.0,0.0,-4073504.5807999996
6925.0,3120497.17465,-269424551.76966894,-0.3014265588914549,0.0,0.0,-3120497.17465
6930.0,1929822.7951540002,-59332864.92291902,-0.1165244594594595,0.0,0.0,-1929822.7951540002
6935.0,942961.263096,-52649565.042447016,-0.1956913043478261,0.0,0.0,-942961.263096
6940.0,1618185.932883,-74774337.270509,-0.1614696879643388,0.0,0.0,-1618185.932883
6945.0,1440658.1994629998,-3004553.6743349954,-0.00738832487309645,0.0,0.0,-1440658.1994629998
6950.0,7308293.834989,-73010344.64494494,-0.03317870544090056,0.0,0.0,-7308293.834989
6955.0,1623002.5768129998,33130665.989714,0.06668781163434903,0.0,0.0,-1623002.5768129998
6960.0,3209811.514952,-71340414.19441399,-0.06496152882205514,0.0,0.0,-3209811.514952
6965.0,2206229.347537,70642620.107355,0.0935865998176846,0.0,0.0,-2206229.347537
6970.0,1704059.8132349998,17530726.05682699,0.0256568982880161,0.0,0.0,-1704059.8132349998
6975.0,2479470.676766,42327841.14645201,0.039007482561826255,0.0,0.0,-2479470.676766
6980.0,2223500.456486,34828395.356641,0.02944496800465387,0.0,0.0,-2223500.456486
6985.0,864518.776236,15397365.651030999,0.028614961636828643,0.0,0.0,-864518.776236
6990.0,893005.784622,-18319279.47736699,-0.03196074429771908,0.0,0.0,-893005.784622
6995.0,1152554.0832500001,20193779.676525004,0.02087304409672831,0.0,0.0,-1152554.0832500001
7000.0,2024573.0621769999,-109133041.034776,-0.05856809453471196,0.0,0.0,-2024573.0621769999
7005.0,1078928.24032,25463188.135945,0.02295626550868486,0.0,0.0,-1078928.24032
7010.0,716303.7615899999,4846300.694769001,0.005059698275862068,0.0,0.0,-716303.7615899999
7015.0,827430.617975,16760957.547613997,0.014691556091676718,0.0,0.0,-827430.617975
7020.0,820893.74407,-6961082.616835002,-0.004968811394891947,0.0,0.0,-820893.74407
